"","key","value","test1$value","test2$value","test3$value","test4$value","test5$value","test6$value"
"110","X329",-0.188,0.052,0.075,0.008,-0.018,0.016,-0.119
"111","X330",-0.034,0.233,0.281,0.011,-0.012,0.014,-0.074
"112","X331",-0.105,0.251,0.24,0.013,-0.09,0.01,-0.095
"113","X332",-0.115,0.28,0.037,0.011,-0.197,0.013,-0.035
"114","X333",-0.053,0.194,-0.121,0.01,-0.351,0.009,-0.014
"115","X334",0.079,0.031,-0.141,0.008,-0.29,0.003,0.069
"116","X335",0.211,0.153,-0.115,0.01,-0.164,0.004,0.143
"117","X336",0.2,0.263,-0.084,0.012,-0.174,0,0.101
"118","X337",0.234,0.54,0.011,0.013,-0.107,-0.001,0.144
"119","X338",0.323,0.469,-0.143,0.007,-0.123,-0.007,0.123
"120","X339",0.428,0.321,-0.037,-0.002,-0.052,-0.017,0.082
"121","X340",0.548,-0.058,0.081,-0.007,0.071,-0.026,0.015
"122","X341",0.477,0.034,0.05,-0.006,0.174,-0.031,-0.047
"123","X342",0.26,-0.099,-0.038,-0.011,0.181,-0.036,-0.075
"124","X343",0.258,-0.118,0.071,-0.023,0.109,-0.039,-0.078
"125","X344",0.379,-0.178,0.059,-0.027,0.199,-0.04,0.012
"126","X345",0.439,-0.293,-0.038,-0.032,0.176,-0.047,0.106
"127","X346",0.525,-0.388,-0.031,-0.033,0.186,-0.047,0.107
"128","X347",0.544,-0.169,-0.084,-0.037,0.084,-0.047,-0.032
"129","X348",0.635,0.093,-0.041,-0.042,0.064,-0.052,-0.035
"130","X349",0.599,0.013,-0.025,-0.052,0.021,-0.064,0.113
"131","X350",0.792,0.268,0.033,-0.056,0.006,-0.06,0.037
